
07-05 15:01:24.818 20583 20607 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);GhostUpdateSystem:UpdateJob (Burst);Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-05 15:01:24.880 20583 20607 I Unity   : [STATISTIC]302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0130924;
07-05 15:01:24.904 20583 20607 I Unity   : [STATISTIC]303;0;0;0;728444928;16179200;860525183;0;0;0;0;0;0;0;0;0;54308070;10516354;0;0;0;0.0130924;
07-05 15:01:25.173 20583 20607 I Unity   : [STATISTIC]304;275625521;0;275625052;731897856;16179200;860525183;0;0;0;0;0;0;0;0;0;1076903646;1542344;247094947;0;0;0.02;
07-05 15:01:25.185 20583 20607 I Unity   : [STATISTIC]305;15730000;0;15729584;732921856;16179200;860525183;365;156;469;0;0;573;5608959;0;0;28617190;102865;656511;0;0;0.01574193;
07-05 15:01:25.194 20583 20607 I Unity   : [STATISTIC]306;6394271;0;6393959;733184000;16179200;860525183;261;312;312;0;0;521;832864;0;0;10110521;56198;252708;0;0;0.006402344;
07-05 15:01:25.208 20583 20607 I Unity   : [STATISTIC]307;10162760;0;10162083;733974528;16179200;860525183;572;208;520;0;0;573;1078177;0;0;19193389;4321719;295625;0;0;0.01018719;
07-05 15:01:25.228 20583 20607 I Unity   : [STATISTIC]308;12688958;0;12688594;739434496;16179200;896664191;0;0;0;0;0;0;0;0;0;15837395;9099427;590365;0;0;0.01269896;
07-05 15:01:25.241 20583 20607 I Unity   : [STATISTIC]309;21919687;0;21919010;742920192;16179200;900858495;156;156;521;0;0;782;1669428;0;0;38611662;15869792;543854;0;0;0.0219274;
07-05 15:01:25.255 20583 20607 I Unity   : [STATISTIC]310;12295937;0;12295312;740970496;16179200;898325791;365;730;833;0;0;887;1528020;0;0;22974480;2247135;371823;0;0;0.01230917;
07-05 15:01:25.270 20583 20607 I Unity   : [STATISTIC]311;12887709;0;12887395;741912576;16179200;898635423;0;0;0;0;0;0;0;0;0;14811249;3886302;446875;0;0;0.01289594;
07-05 15:01:25.286 20583 20607 I Unity   : [STATISTIC]312;15957656;0;15957135;741912576;16179200;898662047;313;312;417;0;0;625;910573;0;0;18276141;6743594;247760;0;0;0.01597198;
07-05 15:01:25.297 20583 20607 I Unity   : [STATISTIC]313;15792188;0;15791927;743010304;16179200;898662047;157;156;469;0;0;521;858384;0;0;102656;7512239;275782;0;0;0.01582443;
07-05 15:01:25.312 20583 20607 I Unity   : [STATISTIC]314;10009531;0;10009010;743440384;16179200;898662047;365;573;313;0;0;625;883072;0;0;19002968;5919167;313593;0;0;0.01001943;
07-05 15:01:25.326 20583 20607 I Unity   : [STATISTIC]315;15375052;0;15374531;744022016;16179200;898662047;104;469;521;0;0;573;825000;0;0;30299999;11332032;249844;0;0;0.01538412;
07-05 15:01:25.340 20583 20607 I Unity   : [STATISTIC]316;13622864;0;13622083;744726528;16179200;898662047;0;0;0;0;0;0;0;0;0;30647445;10168906;386770;0;0;0.01362411;
07-05 15:01:25.355 20583 20607 I Unity   : [STATISTIC]317;24860052;0;24859532;745582592;16179200;898670239;2107083;1281250;255260;0;0;1614;8868073;0;0;46261980;2475729;1270000;0;27;0.02488854;
07-05 15:01:25.367 20583 20607 I Unity   : [STATISTIC]318;5792083;0;5791562;745816064;16179200;898670239;21354;41303;179115;0;0;990;2784114;0;0;9349483;40052;280312;0;27;0.005800104;
07-05 15:01:25.381 20583 20607 I Unity   : [STATISTIC]319;9753698;0;9752969;745816064;16179200;898670239;0;0;0;0;0;0;0;0;0;18818806;6339271;403125;0;27;0.009753854;
07-05 15:01:25.394 20583 20607 I Unity   : [STATISTIC]320;16079115;0;16078645;745816064;16179200;898670239;14583;50156;80312;0;0;1354;1854688;0;0;18585621;10302188;544740;0;27;0.01610656;
07-05 15:01:25.408 20583 20607 I Unity   : [STATISTIC]321;13917708;0;13917188;746053632;16179200;898670239;17292;49375;105990;0;0;2552;1895574;0;0;26045669;7874792;682969;0;27;0.0139249;
07-05 15:01:25.423 20583 20607 I Unity   : [STATISTIC]322;11607188;0;11606719;746053632;16179200;898670239;0;0;0;0;0;0;0;0;0;21640575;7161355;649896;0;27;0.01159943;
07-05 15:01:25.436 20583 20607 I Unity   : [STATISTIC]323;16272188;0;16271302;746053632;16179200;898670239;11250;38802;50313;0;0;1563;1693334;0;0;19353850;10657865;370365;0;27;0.01633328;
07-05 15:01:25.451 20583 20607 I Unity   : [STATISTIC]324;12522916;0;12522396;746053632;16179200;898670239;11250;89323;52031;0;0;1302;1277656;0;0;35488700;7677448;327083;0;27;0.01255052;
07-05 15:01:25.465 20583 20607 I Unity   : [STATISTIC]325;14676094;0;14675729;746053632;16179200;898670239;11771;42187;54375;0;0;937;1296614;0;0;28410777;9868021;362917;0;27;0.0146862;
07-05 15:01:25.477 20583 20607 I Unity   : [STATISTIC]326;15374218;0;15373646;746299392;16179200;898670239;12812;43906;70104;0;0;1719;1832030;0;0;18754847;9163282;435312;0;27;0.01538453;
07-05 15:01:25.492 20583 20607 I Unity   : [STATISTIC]327;10783177;0;10782761;746299392;16179200;898670239;10104;37708;50052;0;0;1198;1169479;0;0;13022917;6170625;377552;0;27;0.0108013;
07-05 15:01:25.507 20583 20607 I Unity   : [STATISTIC]328;15018334;0;15018021;746299392;16179200;898670239;0;0;0;0;0;0;0;0;0;16820470;10712969;738386;0;27;0.01502781;
07-05 15:01:25.519 20583 20607 I Unity   : [STATISTIC]329;15984687;0;15984114;746299392;16179200;898670239;13750;47396;73906;0;0;1979;1875469;0;0;18811456;9680000;578177;0;27;0.01601229;
07-05 15:01:25.534 20583 20607 I Unity   : [STATISTIC]330;10706563;0;10705990;746299392;16179200;898670239;8281;35000;50625;0;0;1146;1189532;0;0;12695886;5896875;345938;0;27;0.01072922;
07-05 15:01:25.548 20583 20607 I Unity   : [STATISTIC]331;14854792;0;14854167;746549248;16179200;898670239;9427;46979;51615;0;0;833;1161823;0;0;16872241;10602969;302292;0;27;0.01486391;
07-05 15:01:25.561 20583 20607 I Unity   : [STATISTIC]332;15531980;0;15530208;746549248;16179200;898670239;12240;43698;68021;0;0;572;1588385;0;0;18199115;10092552;446407;0;27;0.01553505;
07-05 15:01:25.574 20583 20607 I Unity   : [STATISTIC]333;13410417;0;13409792;746549248;16179200;898670347;17605;49323;108906;0;0;1302;1856719;0;0;16666201;7287083;523125;0;27;0.01342687;
07-05 15:01:25.590 20583 20607 I Unity   : [STATISTIC]334;11383698;0;11383281;746790912;16179200;898670347;9166;34427;50260;0;0;1145;1249114;0;0;20607706;6816771;322864;0;27;0.01142057;
07-05 15:01:25.603 20583 20607 I Unity   : [STATISTIC]335;15726927;0;15726354;746790912;16179200;898670347;0;0;0;0;0;0;0;0;0;15208021;10984167;751198;0;27;0.01573266;
07-05 15:01:25.622 20583 20607 I Unity   : [STATISTIC]336;13442969;0;13442344;746790912;16179200;898670347;11197;39531;57761;0;0;1355;1293854;0;0;12643071;8800678;320365;0;27;0.0134563;
07-05 15:01:25.636 20583 20607 I Unity   : [STATISTIC]337;19290208;0;19289896;746790912;16179200;898670347;9844;41198;52032;0;0;1562;1380052;0;0;21715777;14132344;437969;0;27;0.01930359;
07-05 15:01:25.650 20583 20607 I Unity   : [STATISTIC]338;14404479;0;14404011;746790912;16179200;898670347;12240;42448;74687;0;0;1355;1620312;0;0;17547553;8463697;449688;0;27;0.01441724;
07-05 15:01:25.665 20583 20607 I Unity   : [STATISTIC]339;12620312;0;12619896;746790912;16179200;897621771;9739;40782;48333;0;0;1250;1289114;0;0;12088328;8127657;277917;0;27;0.01262729;
07-05 15:01:25.680 20583 20607 I Unity   : [STATISTIC]340;18516979;0;18516250;746790912;16179200;897621771;12865;45781;73542;0;0;1718;1553958;0;0;36074845;11173802;426354;0;27;0.01852151;
07-05 15:01:25.694 20583 20607 I Unity   : [STATISTIC]341;12354896;0;12354584;746790912;16179200;897621771;10938;41927;57552;0;0;1614;1277448;0;0;11653955;7196875;338125;0;27;0.01237458;
07-05 15:01:25.708 20583 20607 I Unity   : [STATISTIC]342;13371407;0;13371041;746872832;16179200;897621771;9375;31875;46198;0;0;1406;1270520;0;0;25492816;9077500;296979;0;27;0.01338312;
07-05 15:01:25.723 20583 20607 I Unity   : [STATISTIC]343;13778281;0;13777813;746872832;16179200;897621771;0;0;0;0;0;0;0;0;0;15149841;9991875;623750;0;27;0.01378417;
07-05 15:01:25.736 20583 20607 I Unity   : [STATISTIC]344;15338542;0;15337969;746872832;16179200;897621771;11302;41406;56406;0;0;938;1356094;0;0;14761666;10445625;369635;0;27;0.01535099;
07-05 15:01:25.749 20583 20607 I Unity   : [STATISTIC]345;13494896;0;13494271;746872832;16179200;897621771;13594;60677;74635;0;0;1927;1790990;0;0;25576930;8308594;390573;0;27;0.01350266;
07-05 15:01:25.764 20583 20607 I Unity   : [STATISTIC]346;13383021;0;13382396;747114496;16179200;897621771;10416;39791;52083;0;0;1562;1499531;0;0;25762867;8335052;354895;0;27;0.01340943;
07-05 15:01:25.777 20583 20607 I Unity   : [STATISTIC]347;13972448;0;13972032;747114496;16179200;897621771;10885;42708;50416;0;0;1615;1499948;0;0;14900418;9014792;308073;0;27;0.01399307;
07-05 15:01:25.791 20583 20607 I Unity   : [STATISTIC]348;14691875;0;14691302;747114496;16179200;897621771;15156;43750;71146;0;0;1771;1861666;0;0;17426612;9022812;429687;0;27;0.01470239;
07-05 15:01:25.809 20583 20607 I Unity   : [STATISTIC]349;11578438;0;11577709;747114496;16179200;897621771;0;0;0;0;0;0;0;0;0;13785260;7564531;443021;0;27;0.01158755;
07-05 15:01:25.822 20583 20607 I Unity   : [STATISTIC]350;18366667;0;18366354;747114496;16179200;897621771;10417;38542;49167;0;0;468;1238072;0;0;53258443;13538438;348906;0;27;0.01840172;
07-05 15:01:25.836 20583 20607 I Unity   : [STATISTIC]351;14196198;0;14195625;747360256;16179200;897621771;9636;30573;53385;0;0;834;1267291;0;0;27353644;9201979;349531;0;27;0.01419875;
07-05 15:01:25.850 20583 20607 I Unity   : [STATISTIC]352;13332604;0;13331927;747360256;16179200;897621771;10886;39948;58854;0;0;1042;1357292;0;0;25190470;8265573;468177;0;27;0.01335255;
07-05 15:01:25.864 20583 20607 I Unity   : [STATISTIC]353;13356875;0;13356406;747360256;16179200;897621771;9948;40000;54063;0;0;1198;1212709;0;0;25113076;8679010;312760;0;27;0.01337458;
07-05 15:01:25.877 20583 20607 I Unity   : [STATISTIC]354;15910625;0;15910104;747601920;16179200;897490699;13177;46927;81667;0;0;781;1686667;0;0;30669639;9817813;488073;0;27;0.01591448;
07-05 15:01:25.890 20583 20607 I Unity   : [STATISTIC]355;10763438;0;10762813;747601920;16179200;897490699;10469;36719;51615;0;0;1302;1173334;0;0;20301045;6398542;311094;0;27;0.01079578;
07-05 15:01:25.904 20583 20607 I Unity   : [STATISTIC]356;13482969;0;13482553;747573248;16179200;897490699;0;0;0;0;0;0;0;0;0;26266563;9850521;527552;0;27;0.01348599;
07-05 15:01:25.918 20583 20607 I Unity   : [STATISTIC]357;15284635;0;15284115;747573248;16179200;897490699;12188;37865;75468;0;0;1459;1524218;0;0;29232654;10162136;354844;0;27;0.01529646;
07-05 15:01:25.933 20583 20607 I Unity   : [STATISTIC]358;13060260;0;13060000;747573248;16179200;897490699;9166;33802;53854;0;0;1198;1266459;0;0;24892132;8315365;381406;0;27;0.0131;
07-05 15:01:25.947 20583 20607 I Unity   : [STATISTIC]359;15067760;0;15067291;747724800;16179200;897490699;10521;39948;51771;0;0;1302;1314478;0;0;29009425;10675885;294375;0;27;0.01507542;
07-05 15:01:25.961 20583 20607 I Unity   : [STATISTIC]360;15933438;0;15932761;747724800;16179200;897490699;13802;50990;83958;0;0;1250;2426041;0;0;30088027;9754114;465157;0;27;0.01594344;
07-05 15:01:26.017 20583 20607 I Unity   : [STATISTIC]361;13083125;0;13082552;747724800;16179200;897490699;9688;37187;49115;0;0;989;1502082;0;0;37361617;7721771;996875;0;27;0.01309146;
07-05 15:01:26.044 20583 20607 I Unity   : [STATISTIC]362;68215521;0;68214896;748765184;16179200;899728971;0;0;0;0;0;0;0;0;0;135024379;3683073;890157;0;27;0.06822407;
07-05 15:01:26.063 20583 20607 I Unity   : [STATISTIC]363;26574375;0;26573594;750661632;16179200;1327613515;1334896;769428;268438;0;0;3093852;11630106;0;0;48309833;8678489;395625;0;27;0.02658453;
07-05 15:01:26.075 20583 20607 I Unity   : [STATISTIC]364;9403021;0;9402552;752209920;16179200;1327617611;576614;145886;131510;0;0;95365;3259166;0;0;15242291;122396;389636;0;27;0.009424167;
07-05 15:01:26.084 20583 20607 I Unity   : [STATISTIC]365;11597968;0;11597552;753029120;16179200;1327617611;544271;129011;121875;0;0;58698;2334218;0;0;15215622;3840781;622864;0;27;0.01160568;
07-05 15:01:26.098 20583 20607 I Unity   : [STATISTIC]366;6514115;0;6513698;753037312;16179200;1327617611;0;0;0;0;0;0;0;0;0;8862032;1434584;488333;0;27;0.006526771;
07-05 15:01:26.115 20583 20607 I Unity   : [STATISTIC]367;18094896;0;18094480;754184192;16179200;1327617611;709219;137917;189063;0;0;105885;3207187;0;0;21573538;8356563;439740;0;27;0.01810354;
07-05 15:01:26.125 20583 20607 I Unity   : [STATISTIC]368;14990156;0;14989740;755441664;16179200;1327617611;589218;114322;131771;0;0;75157;2527499;0;0;15831356;7156666;453385;0;27;0.0149999;
07-05 15:01:26.284 20583 20607 I Unity   : [STATISTIC]369;158943437;0;158943125;785244160;16179200;1354913451;527813;116302;102812;0;3698;66563;2377396;0;0;309120418;2482343;4001459;0;27;0.1589558;
07-05 15:01:26.308 20583 20607 I Unity   : [STATISTIC]370;26650521;0;26650000;795254784;16179200;1365448459;2258230;668489;441614;507656;211407;224530;8044894;0;0;40440314;46459;2617656;0;27;0.02665922;
07-05 15:01:26.322 20583 20607 I Unity   : [STATISTIC]371;14331771;0;14331406;799948800;16179200;1375946571;1262760;211926;270260;0;81666;153281;5028023;0;0;17119950;57761;780000;0;27;0.01434333;
07-05 15:01:26.334 20583 20607 I Unity   : [STATISTIC]372;11123334;0;11122968;805703680;16179200;1380140875;721927;105208;118385;0;61927;123750;2787969;0;0;14017607;44740;1211302;0;27;0.01113719;
07-05 15:01:26.344 20583 20607 I Unity   : [STATISTIC]373;7920000;0;7919270;810201088;16179200;1384335179;0;0;0;0;36406;0;0;0;0;12422083;42448;1265313;0;27;0.007928333;
07-05 15:01:26.361 20583 20607 I Unity   : [STATISTIC]374;11603750;0;11603333;811143168;16179200;1401112395;658958;104219;138229;0;74843;171563;2992396;0;0;13515523;2488385;844375;0;27;0.01161333;
07-05 15:01:26.374 20583 20607 I Unity   : [STATISTIC]375;16762292;0;16761927;811913216;16179200;1401112395;629687;90521;116614;0;111406;164323;2568645;0;0;17867295;8160469;783906;0;27;0.01677448;
07-05 15:01:26.403 20583 20607 I Unity   : [STATISTIC]376;33383750;0;33383281;812843008;16179200;1401112395;573594;96093;199375;0;49166;128646;2860311;0;0;54026150;4426354;1072604;0;27;0.03339182;
07-05 15:01:26.418 20583 20607 I Unity   : [STATISTIC]377;14977917;0;14977657;819277824;16179200;1417953311;1093126;184063;283855;182968;76094;241511;5120780;0;0;19649683;57292;3427760;0;27;0.01499073;
07-05 15:01:26.435 20583 20607 I Unity   : [STATISTIC]378;8624375;0;8624011;819851264;16179200;1417969727;22812;90989;115730;0;46979;232240;2162137;0;0;9819949;57343;1088958;0;27;0.008636667;
07-05 15:01:26.443 20583 20607 I Unity   : [STATISTIC]379;15080885;0;15080417;819851264;16179200;1417969727;0;0;0;0;40990;0;0;0;0;17974170;8561615;1313907;0;27;0.01508953;
07-05 15:01:26.474 20583 20607 I Unity   : [STATISTIC]380;32104948;0;32104271;822513664;16179200;1434759295;26198;106406;158021;109740;39323;175000;1811094;0;0;56347866;503646;2139792;0;27;0.03211078;
07-05 15:01:26.485 20583 20607 I Unity   : [STATISTIC]381;10998906;0;10998490;824848384;16179200;1434792223;25103;173594;174531;115989;65937;272083;2386512;0;0;16025103;43072;2164011;0;27;0.01101469;
07-05 15:01:26.507 20583 20607 I Unity   : [STATISTIC]382;9649688;0;9649323;825004032;16179200;1434800575;36823;135573;122812;0;53854;186563;2126771;0;0;9588801;52813;1497552;0;27;0.009658698;
07-05 15:01:26.526 20583 20607 I Unity   : [STATISTIC]383;22108490;0;22108177;827506688;16179200;1434812927;0;0;0;120989;66146;0;0;0;0;26683179;12260469;2692291;0;27;0.02211917;
07-05 15:01:26.540 20583 20607 I Unity   : [STATISTIC]384;19479427;0;19479062;829984768;16179200;1434850655;17344;95104;91198;188541;74845;163541;1817084;0;0;12238182;8876927;2945781;0;27;0.01949026;
07-05 15:01:26.553 20583 20607 I Unity   : [STATISTIC]385;15192135;0;15191615;832159744;16179200;1434883679;30937;193958;133437;120781;88542;223333;2593854;0;0;14036146;3972813;2595312;0;27;0.01520344;
07-05 15:01:26.565 20583 20607 I Unity   : [STATISTIC]386;10333229;0;10332865;831967232;16179200;1451669343;15521;93385;71875;0;57812;342136;1595312;0;0;8520259;1848125;1484010;0;27;0.01034391;
07-05 15:01:26.582 20583 20607 I Unity   : [STATISTIC]387;12178594;0;12178282;834584576;16179200;1451694991;0;0;0;261771;80052;0;0;0;0;15582658;3630469;2796719;0;27;0.01218958;
07-05 15:01:26.597 20583 20607 I Unity   : [STATISTIC]388;20124219;0;20123906;836997120;16179200;1451732055;22708;110208;90937;334688;43854;241667;1941874;0;0;14326719;8164167;2487135;0;27;0.02012385;
07-05 15:01:26.607 20583 20607 I Unity   : [STATISTIC]389;13331667;0;13331406;834691072;16179200;1451768759;14948;99427;75677;251042;120053;219583;1693802;0;0;12147809;2649584;3068333;0;27;0.01336688;
07-05 15:01:26.618 20583 20607 I Unity   : [STATISTIC]390;8397396;0;8397031;834850816;16179200;1468554551;17395;94218;71927;0;62344;169739;1413126;0;0;7789478;72656;1455990;0;27;0.0084075;
07-05 15:01:26.636 20583 20607 I Unity   : [STATISTIC]391;13215416;0;13215052;837214208;16179200;1468577455;0;0;0;185833;73334;0;0;0;0;19477242;2400781;2361562;0;27;0.01322453;
07-05 15:01:26.649 20583 20607 I Unity   : [STATISTIC]392;15610052;0;15609532;837214208;16179200;1468577455;27657;99322;103177;0;43125;196510;2040886;0;0;3899842;6969271;1092240;0;27;0.01561969;
07-05 15:01:26.664 20583 20607 I Unity   : [STATISTIC]393;13629635;0;13629271;840155136;16179200;1485432063;16979;94011;75104;265990;71354;157135;1497709;0;0;19575262;3819479;2499948;0;27;0.01364172;
07-05 15:01:26.677 20583 20607 I Unity   : [STATISTIC]394;18597760;0;18597292;842571776;16179200;1485444639;57865;150000;181406;213437;77813;430677;2905105;0;0;16859275;5628125;3391406;0;27;0.01860635;
07-05 15:01:26.687 20583 20607 I Unity   : [STATISTIC]395;10433021;0;10432709;845049856;16179200;1485503307;27448;93750;109166;265782;63959;160886;1673853;0;0;14713328;293594;2546094;0;27;0.01044391;
07-05 15:01:26.703 20583 20607 I Unity   : [STATISTIC]396;10986145;0;10985781;847536128;16179200;1485515947;15886;97239;78125;154531;51459;180417;1443803;0;0;14004940;53854;1976667;0;27;0.01099734;
07-05 15:01:26.717 20583 20607 I Unity   : [STATISTIC]397;14053698;0;14053230;849666048;16179200;1485541163;0;0;0;309896;72709;0;0;0;0;14221616;4454948;2685990;0;27;0.01406193;
07-05 15:01:26.732 20583 20607 I Unity   : [STATISTIC]398;13800937;0;13800573;849817600;16179200;1485550027;26875;100468;132760;0;69531;212083;1636562;0;0;9273803;4399792;956510;0;27;0.01381229;
07-05 15:01:26.746 20583 20607 I Unity   : [STATISTIC]399;13719792;0;13719375;849960960;16179200;1485550027;15573;86719;71354;0;84219;163750;1592291;0;0;16503601;5304323;1328489;0;27;0.01373005;
07-05 15:01:26.761 20583 20607 I Unity   : [STATISTIC]400;14481823;0;14481459;850124800;16179200;1485550027;17291;96875;74739;0;36979;174219;1598125;0;0;18036301;5824843;1205677;0;27;0.01449276;
07-05 15:01:26.775 20583 20607 I Unity   : [STATISTIC]401;14404584;0;14404166;850374656;16179200;1485550027;15989;100677;82292;0;62916;537291;2179843;0;0;16841775;6359218;803802;0;27;0.01441443;
07-05 15:01:26.789 20583 20607 I Unity   : [STATISTIC]402;17501250;0;17500782;852439040;16179200;1485550027;15000;102552;74114;211198;247552;151719;1727344;0;0;21652245;5752344;3566458;0;27;0.01750964;
07-05 15:01:26.800 20583 20607 I Unity   : [STATISTIC]403;13012708;0;13012136;854679552;16179200;1485579115;21875;100521;78385;119844;66301;370730;1944010;0;0;14192712;2663333;2622656;0;27;0.0130213;
07-05 15:01:26.813 20583 20607 I Unity   : [STATISTIC]404;9840469;0;9840000;854949888;16179200;1485583627;0;0;0;0;87448;0;0;0;0;17032449;73803;1064063;0;27;0.009850625;
07-05 15:01:26.829 20583 20607 I Unity   : [STATISTIC]405;14003125;0;14002605;854949888;16179200;1485583627;20990;94063;73489;0;28125;177343;1634011;0;0;19405938;3769688;620261;0;27;0.01401974;
07-05 15:01:26.843 20583 20607 I Unity   : [STATISTIC]406;14109739;0;14109115;855207936;16179200;1485583627;18542;94896;79167;0;149740;325052;1952500;0;0;17686043;5239114;1147291;0;27;0.01412036;
07-05 15:01:26.858 20583 20607 I Unity   : [STATISTIC]407;13527865;0;13527500;853598208;16179200;1485583627;16041;94219;68958;0;46926;143333;1622292;0;0;16795311;5131511;667916;0;27;0.01354031;
07-05 15:01:26.872 20583 20607 I Unity   : [STATISTIC]408;16367917;0;16367552;853803008;16179200;1485583627;42604;140104;168281;0;44531;250781;2583541;0;0;20049011;6552396;1060834;0;27;0.01637563;
07-05 15:01:26.885 20583 20607 I Unity   : [STATISTIC]409;12640625;0;12640000;854208512;16179200;1485583627;29271;98542;104895;0;81979;211459;1790988;0;0;15902082;4249166;983750;0;27;0.01265307;
07-05 15:01:26.900 20583 20607 I Unity   : [STATISTIC]410;12491511;0;12491041;854208512;16179200;1485583627;0;0;0;0;67760;0;0;0;0;16540001;4908750;879375;0;27;0.01250495;
07-05 15:01:26.914 20583 20607 I Unity   : [STATISTIC]411;15257761;0;15257447;854208512;16179200;1485583627;27083;112084;97500;0;69323;203490;1749844;0;0;18454528;7034167;844583;0;27;0.01526672;
07-05 15:01:26.928 20583 20607 I Unity   : [STATISTIC]412;14705625;0;14705208;854208512;16179200;1485583627;24375;98177;82812;0;70937;194479;1669636;0;0;15461196;6328021;1386666;0;27;0.01471625;
07-05 15:01:26.943 20583 20607 I Unity   : [STATISTIC]413;13534843;0;13534427;854208512;16179200;1485583627;20312;124011;83177;0;83489;316771;1777500;0;0;15454271;5114739;1299011;0;27;0.01354281;
07-05 15:01:26.957 20583 20607 I Unity   : [STATISTIC]414;17591146;0;17590625;854622208;16179200;1502344203;16355;96146;112396;0;41145;167239;1657396;0;0;20486198;6677239;1961980;0;27;0.01760823;
07-05 15:01:26.971 20583 20607 I Unity   : [STATISTIC]415;11547239;0;11546823;854757376;16179200;1502344203;16511;95156;73490;0;57551;169844;1471771;0;0;12948488;3025104;1391146;0;27;0.0115512;
07-05 15:01:26.988 20583 20607 I Unity   : [STATISTIC]416;12761093;0;12760781;853745664;16179200;1519121419;0;0;0;0;67396;0;0;0;0;15685938;5733177;1791510;0;27;0.01277906;
07-05 15:01:27.001 20583 20607 I Unity   : [STATISTIC]417;21286094;0;21285781;856154112;16179200;1519154187;26771;123073;105365;214635;178543;228229;2007448;0;0;26309478;9793958;3400000;0;27;0.0212949;
07-05 15:01:27.013 20583 20607 I Unity   : [STATISTIC]418;10495208;0;10494844;858439680;16179200;1519166923;17240;99948;71042;106667;62449;155781;1370624;0;0;9394423;1918750;1790261;0;27;0.01052787;
07-05 15:01:27.028 20583 20607 I Unity   : [STATISTIC]419;13127291;0;13126979;860700672;16179200;1535935915;15105;100625;71302;130729;69635;298854;1617500;0;0;10859316;3420312;2460938;0;27;0.01313412;
07-05 15:01:27.042 20583 20607 I Unity   : [STATISTIC]420;14632239;0;14631875;863035392;16179200;1535940491;34584;98698;71406;124219;63333;171198;1487239;0;0;10951459;5110365;2120260;0;27;0.01464198;
07-05 15:01:27.056 20583 20607 I Unity   : [STATISTIC]421;12142292;0;12141927;863035392;16179200;1535940491;19219;98386;81823;0;30625;198646;1503282;0;0;7890054;4038907;1077604;0;27;0.01215297;
07-05 15:01:27.072 20583 20607 I Unity   : [STATISTIC]422;16010990;0;16010520;865144832;16179200;1535994063;0;0;0;392448;98073;0;0;0;0;20765882;5754375;2788907;0;27;0.01602031;
07-05 15:01:27.084 20583 20607 I Unity   : [STATISTIC]423;16401771;0;16401458;865284096;16179200;1535998671;46354;112969;190312;0;100937;264896;2387239;0;0;18625109;5911875;1686354;0;27;0.01641312;
07-05 15:01:27.098 20583 20607 I Unity   : [STATISTIC]424;11191927;0;11191459;867418112;16179200;1552775535;16510;92500;70625;136927;67865;178490;1425469;0;0;13467960;1900625;2114688;0;27;0.01120188;
07-05 15:01:27.112 20583 20607 I Unity   : [STATISTIC]425;15181354;0;15181042;869879808;16179200;1552788367;16459;96354;75781;152447;62083;191770;1534011;0;0;18448848;4980625;2504375;0;27;0.01519073;
07-05 15:01:27.126 20583 20607 I Unity   : [STATISTIC]426;13754115;0;13753646;872181760;16179200;1552817615;16146;104948;74947;133282;78228;224427;1608230;0;0;11462137;3660938;2319323;0;27;0.0137626;
07-05 15:01:27.141 20583 20607 I Unity   : [STATISTIC]427;13006667;0;13006302;874455040;16179200;1552830511;15573;94323;70208;183437;53803;200000;1516980;0;0;10103496;3810416;2171145;0;27;0.01301641;
07-05 15:01:27.155 20583 20607 I Unity   : [STATISTIC]428;15451823;0;15451094;876896256;16179200;1569629455;16198;96250;70000;206927;41719;161979;1468855;0;0;18629693;5344948;2378438;0;27;0.01546255;
07-05 15:01:27.169 20583 20607 I Unity   : [STATISTIC]429;13683854;0;13683489;879112192;16179200;1586415279;15157;88959;67968;225573;68124;178125;1364271;0;0;15742341;4318854;2071875;0;27;0.01369568;
07-05 15:01:27.183 20583 20607 I Unity   : [STATISTIC]430;11198334;0;11197761;879112192;16179200;1586415279;0;0;0;0;69740;0;0;0;0;8277917;4545469;1384740;0;27;0.01120771;
07-05 15:01:27.199 20583 20607 I Unity   : [STATISTIC]431;19731302;0;19730989;881197056;16179200;1586415279;35000;94844;139427;183385;163907;152031;2079896;0;0;25805932;7479271;3284271;0;27;0.01974068;
07-05 15:01:27.209 20583 20607 I Unity   : [STATISTIC]432;13466407;0;13465989;883630080;16179200;1586448047;15520;94844;64844;134427;77709;202865;1548906;0;0;17141501;3256354;2580416;0;27;0.01347542;
07-05 15:01:27.225 20583 20607 I Unity   : [STATISTIC]433;10605365;0;10605052;885743616;16179200;1586461007;22709;111146;79427;128594;92812;157292;1456354;0;0;11493025;580521;2330990;0;27;0.01061781;
07-05 15:01:27.238 20583 20607 I Unity   : [STATISTIC]434;14995677;0;14995365;887848960;16179200;1586487559;17864;98802;78906;184479;41406;179635;1549740;0;0;11521667;4944844;2478177;0;27;0.01500443;
